event,trigger_type,readout_type,global_timestamp
10000,Unknown,None,1533762002
10001,Unknown,None,1533762002
10002,Unknown,None,1533762002
10003,Unknown,None,1533762002
10004,Unknown,None,1533762002
10005,Unknown,None,1533762002
10006,Unknown,None,1533762002
10007,Unknown,None,1533762002
10008,Unknown,None,1533762002
10009,Unknown,None,1533762002
10010,Unknown,None,1533762002
10011,Unknown,None,1533762002
10012,Unknown,None,1533762002
10013,Unknown,None,1533762002
10014,Unknown,None,1533762002
10015,Unknown,None,1533762002
10016,Unknown,None,1533762002
10017,Unknown,None,1533762002
10018,Unknown,None,1533762002
10019,Unknown,None,1533762002
10020,Unknown,None,1533762002
10021,Unknown,None,1533762002
10022,Unknown,None,1533762002
10023,Unknown,None,1533762002
10024,Unknown,None,1533762002
10025,Unknown,None,1533762002
10026,Unknown,None,1533762002
10027,Unknown,None,1533762002
10028,Unknown,None,1533762002
10029,Unknown,None,1533762002
10030,Unknown,None,1533762002
10031,Unknown,None,1533762002
10032,Unknown,None,1533762002
10033,Unknown,None,1533762002
10034,Unknown,None,1533762002
10035,Unknown,None,1533762002
10036,Unknown,None,1533762002
10037,Unknown,None,1533762002
10038,Unknown,None,1533762002
10039,Unknown,None,1533762002
10040,Unknown,None,1533762002
10041,Unknown,None,1533762002
10042,Unknown,None,1533762002
10043,Unknown,None,1533762002
10044,Unknown,None,1533762002
10045,Unknown,None,1533762002
10046,Unknown,None,1533762002
10047,Unknown,None,1533762002
10048,Unknown,None,1533762002
10049,Unknown,None,1533762002
10050,Unknown,None,1533762002
10051,Unknown,None,1533762002
10052,Unknown,None,1533762002
10053,Unknown,None,1533762002
10054,Unknown,None,1533762002
10055,Unknown,None,1533762002
10056,Unknown,None,1533762002
10057,Unknown,None,1533762002
10058,Unknown,None,1533762002
10059,Unknown,None,1533762002
10060,Unknown,None,1533762002
10061,Unknown,None,1533762002
10062,Unknown,None,1533762002
10063,Unknown,None,1533762002
10064,Unknown,None,1533762002
10065,Unknown,None,1533762002
10066,Unknown,None,1533762002
10067,Unknown,None,1533762002
10068,Unknown,None,1533762002
10069,Unknown,None,1533762002
10070,Unknown,None,1533762002
10071,Unknown,None,1533762002
10072,Unknown,None,1533762002
10073,Unknown,None,1533762002
10074,Unknown,None,1533762002
10075,Unknown,None,1533762002
10076,Unknown,None,1533762002
10077,Unknown,None,1533762002
10078,Unknown,None,1533762003
10079,Unknown,None,1533762003
10080,Unknown,None,1533762003
10081,Unknown,None,1533762003
10082,Unknown,None,1533762003
10083,Unknown,None,1533762003
10084,Unknown,None,1533762003
10085,Unknown,None,1533762003
10086,Unknown,None,1533762003
10087,Unknown,None,1533762003
10088,Unknown,None,1533762003
10089,Unknown,None,1533762003
10090,Unknown,None,1533762003
10091,Unknown,None,1533762003
10092,Unknown,None,1533762003
10093,Unknown,None,1533762003
10094,Unknown,None,1533762003
10095,Unknown,None,1533762003
10096,Unknown,None,1533762003
10097,Unknown,None,1533762003
10098,Unknown,None,1533762003
10099,Unknown,None,1533762003
